1155225,3003128516,"Millstone Medical Outsourcing, LLC",10/22/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1135485,3012089677,TESOROS TRADING CO.,02/10/2021,Foods,21 CFR 1.506(e)(1)(i)(D),Audit - document,"For an onsite audit, you did not retain documentation that the audit was conducted by a qualified auditor."
1135503,3010396014,La Boulangerie Des Gourmets Llc,02/10/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135414,2414442,"U.F.S. Industries, Inc.",02/09/2021,Foods,21 CFR 117.130(a)(1),Hazard Analysis - Identification of Hazard,Your hazard analysis did not identify a known or reasonably foreseeable hazard that required a preventive control.
1135414,2414442,"U.F.S. Industries, Inc.",02/09/2021,Foods,21 CFR 117.160(a),Process Controls Validation Not Performed,You did not validate that your process controls are adequate to control the hazard.
1135414,2414442,"U.F.S. Industries, Inc.",02/09/2021,Foods,21 CFR 117.165(b),Process Controls Verif Procedures: Establish Implement,You did not establish and implement adequate written process controls verification procedures.
1135433,3014015244,Link Logistics LLC,02/09/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135635,3012421089,MCELROY IMPORTS,02/09/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135635,3012421089,MCELROY IMPORTS,02/09/2021,Foods,21 CFR 1.504(b)(1),"Hazard analysis biological, chemical, physical",Your hazard analysis did not include a known or reasonably foreseeable chemical and physical hazard that requires a control.
1135635,3012421089,MCELROY IMPORTS,02/09/2021,Foods,21 CFR 1.504(c)(1),Evaluation absence of control,Your hazard analysis did not include an evaluation of an identified hazard to assess the probability that the hazard will occur in the absence of a control.
1135635,3012421089,MCELROY IMPORTS,02/09/2021,Foods,21 CFR 1.504(c)(1),Evaluation severity,Your hazard analysis did not include an evaluation of an identified hazard to assess the severity of illness or injury if the hazard were to occur.
1135635,3012421089,MCELROY IMPORTS,02/09/2021,Foods,21 CFR 1.504(d),Document review entity's hazard analysis,You did not document your review and assessment of a hazard analysis conducted by another entity and that a hazard analysis conducted by another entity was conducted by a qualified individual.
1135635,3012421089,MCELROY IMPORTS,02/09/2021,Foods,21 CFR 1.506(a)(1),Approved supplier procedures - importer established,You did not establish written procedures to ensure that you import foods only from approved foreign suppliers.
1135635,3012421089,MCELROY IMPORTS,02/09/2021,Foods,21 CFR 1.506(a)(1),Unapproved supplier procedures - importer established,You did not establish written procedures for importing a food on a temporary basis from an unapproved foreign supplier.
1135635,3012421089,MCELROY IMPORTS,02/09/2021,Foods,21 CFR 1.506(b),Supplier verification - establish written procedures,You did not establish written procedures for ensuring that appropriate foreign supplier verification activities are conducted with respect to a food you import.
1135635,3012421089,MCELROY IMPORTS,02/09/2021,Foods,21 CFR 1.506(d)(1)(i),Verification activity - entity prevent hazard,Your verification activity did not address the entity that is significantly minimizing or preventing the hazards or verifying that the hazards have been significantly minimized or prevented.
1135635,3012421089,MCELROY IMPORTS,02/09/2021,Foods,21 CFR 1.506(d)(1)(i),Verification activity frequency,You did not document the frequency of conducting the verification activities to provide adequate assurances that a food you obtain from a foreign supplier is produced in compliance with processes and procedures that provide the required level of public health protection.
1135635,3012421089,MCELROY IMPORTS,02/09/2021,Foods,21 CFR 1.506(d)(3),"Verification activity - another entity, assess",You did not document that you reviewed and assessed another entity's determination of the appropriate foreign supplier verification activities.
1135635,3012421089,MCELROY IMPORTS,02/09/2021,Foods,21 CFR 1.506(d)(3),"Verification activity - another entity, qualified individual",You did not document that another entity's determination of appropriate foreign supplier verification activities was made by a qualified individual.
1135635,3012421089,MCELROY IMPORTS,02/09/2021,Foods,21 CFR 1.510(a)(2),"Record - sign, date",You did not sign and date an FSVP record upon initial completion.
1135762,3008463348,"G2G Bar, LLC",02/09/2021,Foods,21 CFR 117.130(a)(1),Hazard Analysis - Identification of Hazard,Your hazard analysis did not identify a known or reasonably foreseeable hazard that required a preventive control.
1135893,3001504726,Gilman Cooperative Creamery Association,02/09/2021,Veterinary Medicine,21 CFR 225.120,Vermin and pest infestation,Your buildings and grounds are not constructed and maintained in a manner to minimize vermin and pest infestation.
1135893,3001504726,Gilman Cooperative Creamery Association,02/09/2021,Veterinary Medicine,21 CFR 225.142,Adequate procedures for Type A and Type B articles,Adequate procedures are not established and maintained for the inventory control (receipt and use) of all Type A medicated articles and Type B medicated feeds intended for use in the manufacture of medicated feeds.
1135893,3001504726,Gilman Cooperative Creamery Association,02/09/2021,Veterinary Medicine,21 CFR 225.202,Elements of records,"Formula, production and distribution records do not identify the formulation, date of mixing, or date of shipment (if not for own use)."
1135893,3001504726,Gilman Cooperative Creamery Association,02/09/2021,Veterinary Medicine,21 CFR 507.17(a),Grounds,You did not keep the grounds around your animal food plant in a condition that would protect against the contamination of animal food.
1135893,3001504726,Gilman Cooperative Creamery Association,02/09/2021,Veterinary Medicine,21 CFR 507.19(a),Plant Maintenance,You did not maintain your plant in good repair to prevent animal food from becoming adulterated.
1135893,3001504726,Gilman Cooperative Creamery Association,02/09/2021,Veterinary Medicine,21 CFR 507.33(a),Hazard Analysis,"You did not evaluate each known or reasonably foreseeable hazard for each type of animal food you manufacture, process, pack or hold in your facility."
1135893,3001504726,Gilman Cooperative Creamery Association,02/09/2021,Veterinary Medicine,21 CFR 507.34(a)(1),Preventive Controls,You did not identify and implement preventive controls to ensure that any hazards requiring a preventive control are significantly minimized or prevented.
1135893,3001504726,Gilman Cooperative Creamery Association,02/09/2021,Veterinary Medicine,21 CFR 507.40,Establishment and Implementation of Monitoring Preventive Controls,"You did not establish written procedures for and implement monitoring, including adequate frequency for your preventive controls."
1135893,3001504726,Gilman Cooperative Creamery Association,02/09/2021,Veterinary Medicine,21 CFR 507.42(a)(1),Establishment and Implementation of Corrective Action Procedures,You did not establish and implement appropriate written corrective action procedures for preventive controls.
1134908,3012845602,LAP Imports Corp.,02/08/2021,Foods,21 CFR 1.512(b)(1)(i)(A),Definition very small importer,"You chose to comply with the requirements for a very small importer, but you did not document that you meet the definition of a very small importer before initially importing a food as a very small importer."
1134908,3012845602,LAP Imports Corp.,02/08/2021,Foods,21 CFR 1.512(b)(3)(i),"Very small importer assurances, supplier","As a very small importer, you did not obtain written assurance, before importing a food and every 2 years after initially importing a food, that your foreign supplier produced the food in compliance with process and procedures that provide the required level of public health protection."
1135369,3014260015,"Cornhouse USA, LLC",02/08/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135376,3015362360,ORANGE TRADERS LLC,02/08/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135578,3014473821,"Aditya Bardia, M.D.",02/08/2021,Bioresearch Monitoring,21 CFR 312.60,"FD-1572, protocol compliance",An investigation was not conducted in accordance with the investigational plan.
1135303,3012678859,EUROPAN CORP.,02/05/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135327,3003936585,C.L.M. Trading Inc.,02/05/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135516,3012500678,MEX TRADING LLC,02/05/2021,Foods,21 CFR 1.504(a),Hazard analysis written,You did not have a written hazard analysis to identify and evaluate known or reasonably foreseeable hazards to determine whether there are any hazards requiring a control.
1135516,3012500678,MEX TRADING LLC,02/05/2021,Foods,21 CFR 1.504(b)(1),"Hazard analysis biological, chemical, physical",Your hazard analysis did not include a known or reasonably foreseeable biological and physical hazard that requires a control.
1135236,1416689,"Tootsie Roll Industries, Inc.",02/04/2021,Foods,21 CFR 1.504(d),Document review entity's hazard analysis,You did not document your review and assessment of a hazard analysis conducted by another entity.
1135236,1416689,"Tootsie Roll Industries, Inc.",02/04/2021,Foods,21 CFR 1.505(a)(2),"Evaluation - performance, risk",You did not document that you conducted an evaluation or reviewed and assessed an evaluation conducted by another entity to determine.
1135236,1416689,"Tootsie Roll Industries, Inc.",02/04/2021,Foods,21 CFR 1.506(a)(1),"Approved supplier procedures - follow, document use",You did not follow and document your use of written procedures to ensure that you import foods only from approved foreign suppliers.
1135236,1416689,"Tootsie Roll Industries, Inc.",02/04/2021,Foods,21 CFR 1.506(a)(1),Approved supplier procedures - importer established,You did not establish written procedures to ensure that you import foods only from approved foreign suppliers.
1135236,1416689,"Tootsie Roll Industries, Inc.",02/04/2021,Foods,21 CFR 1.506(b),Supplier verification - establish written procedures,You did not establish adequate written procedures for ensuring that appropriate foreign supplier verification activities are conducted with respect to a food you import.
1135288,1000139727,House of Spices,02/04/2021,Foods,21 CFR 117.40,Equipment and Utensils - Design and Maintenance,Your equipment and utensils were not designed and constructed to be adequately cleaned or maintained to protect against contamination.
1135288,1000139727,House of Spices,02/04/2021,Foods,21 CFR 117.130(a)(1),Hazard Analysis - Identification of Hazard,Your hazard analysis did not identify a known or reasonably foreseeable hazard that required a preventive control.
